YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
2007,4,MN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),85
2007,4,MN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"31,326"
2007,4,MO,Total Electric Power Industry,Coal (Short Tons),"3,467,480"
2007,4,MO,Total Electric Power Industry,Petroleum (Barrels),"9,561"
2007,4,MO,Total Electric Power Industry,Natural Gas (Mcf),"1,346,174"
2007,4,MO,Total Electric Power Industry,Other Gases (Billion BTU),4
2007,4,MO,"Electric Generators, Electric Utilities",Coal (Short Tons),"3,459,817"
2007,4,MO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"9,509"
2007,4,MO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,309,416"
2007,4,MO,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),4
2007,4,MO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"21,572"
2007,4,MO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"7,282"
2007,4,MO,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"2,269"
2007,4,MO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),20
2007,4,MO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),624
2007,4,MO,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"5,394"
2007,4,MO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),32
2007,4,MO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"7,280"
2007,4,MS,Total Electric Power Industry,Coal (Short Tons),"765,778"
2007,4,MS,Total Electric Power Industry,Petroleum (Barrels),"138,581"
2007,4,MS,Total Electric Power Industry,Natural Gas (Mcf),"11,401,669"
2007,4,MS,Total Electric Power Industry,Other Gases (Billion BTU),23
2007,4,MS,"Electric Generators, Electric Utilities",Coal (Short Tons),"494,052"
2007,4,MS,"Electric Generators, Electric Utilities",Petroleum (Barrels),"138,289"
2007,4,MS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"6,296,853"
2007,4,MS,"Electric Generators, Independent Power Producers",Coal (Short Tons),"271,597"
2007,4,MS,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,965,217"
2007,4,MS,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"11,034"
2007,4,MS,"Combined Heat and Power, Industrial Power",Coal (Short Tons),129
2007,4,MS,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),292
2007,4,MS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"128,565"
2007,4,MS,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),23
2007,4,MT,Total Electric Power Industry,Coal (Short Tons),"880,401"
2007,4,MT,Total Electric Power Industry,Petroleum (Barrels),"69,843"
2007,4,MT,Total Electric Power Industry,Natural Gas (Mcf),"64,306"
2007,4,MT,Total Electric Power Industry,Other Gases (Billion BTU),21
2007,4,MT,"Electric Generators, Electric Utilities",Coal (Short Tons),"5,098"
2007,4,MT,"Electric Generators, Electric Utilities",Petroleum (Barrels),528
2007,4,MT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"14,088"
2007,4,MT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"875,303"
2007,4,MT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"4,270"
2007,4,MT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"43,451"
2007,4,MT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"65,045"
2007,4,MT,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),21
2007,4,MT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2007,4,MT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"6,767"
2007,4,MT,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),0
2007,4,NC,Total Electric Power Industry,Coal (Short Tons),"2,421,721"
2007,4,NC,Total Electric Power Industry,Petroleum (Barrels),"58,796"
2007,4,NC,Total Electric Power Industry,Natural Gas (Mcf),"2,688,912"
2007,4,NC,Total Electric Power Industry,Other Gases (Billion BTU),0
2007,4,NC,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,306,258"
2007,4,NC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"41,057"
2007,4,NC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,675,458"
2007,4,NC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),31
2007,4,NC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,332"
2007,4,NC,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),0
2007,4,NC,"Combined Heat and Power, Electric Power",Coal (Short Tons),"108,057"
2007,4,NC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),38
2007,4,NC,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2007,4,NC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2007,4,NC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2007,4,NC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"7,406"
